question,ground_truth,source_doc
"카스 번호 79-11-8인 Chloracetic Acid의 ACGIH TWA(inhalable fraction and vapor) 값은 몇 ppm이야?","0.5 ppm","KR_msds_3M_Gloss_Rinse" 
"Chloracetic Acid(카스 번호 79-11-8)의 AIHA TWA 값(mg/m3 기준)은 SDS에서 얼마로 나와 있어?","1.9 mg/m3 (0.5 ppm)","KR_msds_3M_Gloss_Rinse"
"3M Gloss Rinse 물질안전보건자료에서 Chloracetic Acid의 CAS no.는 어떻게 적혀 있어?","79-11-8","KR_msds_3M_Gloss_Rinse"
"3M Gloss Rinse SDS에서 Chloracetic Acid 성분의 함유량(대략적인 wt %) 범위는 몇 퍼센트 구간으로 기재돼 있어?","0 - 1.5 %","KR_msds_3M_Gloss_Rinse"
"3M Gloss Rinse SDS에서 물(증류수)의 카스 번호(CAS No.)는 무엇으로 표기되어 있어?","7732-18-5","KR_msds_3M_Gloss_Rinse"
"3M Choke & Carb Cleaner MSDS에서 N-HEXANE(카스넘버 110-54-3)의 한국OELs TWA(8 hours) 값은 몇 ppm이야?","50 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner SDS 기준으로 N-HEXANE(CAS No. 110-54-3)의 ACGIH TWA 값은 몇 ppm으로 나와 있어?","50 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner 물질안전보건자료에서 Toluene(카스 번호 108-88-3)의 한국OELs TWA(8시간)와 STEL(15분) 값은 각각 몇 ppm이야?","TWA 50 ppm, STEL 150 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner SDS에서 Toluene(CAS no. 108-88-3)의 ACGIH TWA 값은 몇 ppm으로 기재돼 있어?","20 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner 작업노출한계 표에서 아세톤(카스 번호 67-64-1)의 ACGIH TWA와 STEL 값은 각각 몇 ppm이야?","TWA 250 ppm, STEL 500 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"같은 표에서 아세톤(67-64-1)의 한국OELs TWA(8 hours)와 STEL(15 minutes) 값은 각각 몇 ppm으로 나와 있어?","TWA 500 ppm, STEL 750 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner SDS에서 Cyclopentane(CAS No. 287-92-3)의 ACGIH TWA 값은 몇 ppm이야?","1000 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"3M Choke & Carb Cleaner SDS에서 Cyclopentane(카스 번호 287-92-3)의 한국OELs TWA(8 hours) 값은 몇 ppm으로 적혀 있어?","600 ppm","KR_msds_3M_Choke_Carb_Cleaner"
"ACETIC ACID LRG Safety Data Sheet에서 이 물질의 CAS number는 무엇으로 기재되어 있어?","64-19-7","ACETIC_ACID_LRG_SDS_EN"
"ACETIC ACID LRG SDS에서 이 물질의 인화성(Flammable liquid) 등급은 CLP 분류 상 어떻게 표시돼 있어?","Flam. Liq. 3 (H226 Flammable liquid and vapour.)","ACETIC_ACID_LRG_SDS_EN"
